ocorrencia_cidade,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_classificacao
BEBEDOURO,SDBB,2011-12-23,20:40:00,INCIDENTE GRAVE
SÃO PAULO,Unkown,2011-12-28,03:17:00,INCIDENTE
GUARULHOS,Unkown,2011-12-29,09:00:00,INCIDENTE
GUARULHOS,SBGR,2011-12-29,14:11:00,INCIDENTE
UBATUBA,Unkown,2012-01-06,14:30:00,INCIDENTE
CAMPINAS,SDAI,2012-01-07,18:15:00,INCIDENTE GRAVE
SÃO PAULO,SBMT,2012-01-21,11:15:00,INCIDENTE
SÃO PAULO,SBMT,2012-01-25,23:00:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2012-01-25,09:30:00,INCIDENTE
PIRACICABA,SDPW,2012-02-06,20:45:00,INCIDENTE
ITANHAÉM,Unkown,2012-02-06,14:00:00,INCIDENTE
SÃO PAULO,SBSP,2012-02-06,18:44:00,INCIDENTE
JUNDIAÍ,SBJD,2012-02-07,20:50:00,INCIDENTE
PERUÍBE,Unkown,2012-02-17,14:45:00,INCIDENTE
SÃO PAULO,Unkown,2012-02-17,11:30:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2012-02-20,14:10:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2012-02-24,20:04:00,INCIDENTE GRAVE
BRAGANÇA PAULISTA,SBBP,2012-02-27,19:15:00,INCIDENTE GRAVE
SÃO JOSÉ DO RIO PRETO,Unkown,2012-03-03,13:00:00,INCIDENTE
SÃO PAULO,Unkown,2012-03-03,11:30:00,INCIDENTE
GUARULHOS,SBGR,2012-03-07,17:40:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2012-03-10,12:25:00,INCIDENTE
CAMPINAS,Unkown,2012-03-11,17:30:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2012-03-11,22:42:00,INCIDENTE
FRANCA,Unkown,2012-03-15,14:35:00,INCIDENTE
FRANCO DA ROCHA,Unkown,2012-03-16,18:40:00,INCIDENTE
GUARULHOS,Unkown,2012-03-20,16:10:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2012-03-26,20:38:00,INCIDENTE
SÃO PAULO,SBSP,2012-03-27,16:00:00,INCIDENTE
CAMPINAS,Unkown,2012-03-28,19:30:00,INCIDENTE
GUARULHOS,Unkown,2012-04-01,13:30:00,INCIDENTE
SÃO PAULO,Unkown,2012-04-02,18:32:00,INCIDENTE
BAURU,SBBU,2012-04-04,20:20:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2012-04-11,12:00:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2012-04-27,03:54:00,INCIDENTE
GUARULHOS,SBGR,2012-05-01,23:30:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2012-05-16,11:00:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2012-05-18,17:56:00,INCIDENTE
ITÁPOLIS,Unkown,2012-05-18,19:45:00,INCIDENTE
SÃO PAULO,Unkown,2012-05-18,15:00:00,INCIDENTE GRAVE
CAMPINAS,SBKP,2012-05-19,10:28:00,INCIDENTE
BOTUCATU,SDBK,2012-05-22,13:30:00,INCIDENTE
JUNDIAÍ,SBJD,2012-05-24,19:23:00,INCIDENTE
SALTO DE PIRAPORA,SDBN,2012-05-25,20:15:00,INCIDENTE GRAVE
SÃO PAULO,SBSP,2012-05-25,15:40:00,INCIDENTE
SÃO PAULO,SBMT,2012-05-26,19:30:00,INCIDENTE
JUNDIAÍ,SBJD,2012-06-01,16:54:00,INCIDENTE
JUNDIAÍ,SBJD,2012-06-03,20:28:00,INCIDENTE
SÃO PAULO,SBSP,2012-06-16,13:15:00,INCIDENTE
GUARULHOS,SBGR,2012-06-17,13:36:00,INCIDENTE
ARARAS,SDAA,2012-06-19,13:40:00,INCIDENTE
GUARULHOS,SBGR,2012-06-21,13:55:00,INCIDENTE
MOGI DAS CRUZES,Unkown,2012-06-22,20:20:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2012-06-24,11:40:00,INCIDENTE
JUNDIAÍ,SBJD,2012-06-25,15:18:00,INCIDENTE
SÃO PAULO,SBSP,2012-06-29,01:35:00,INCIDENTE
GUARULHOS,Unkown,2012-07-03,02:55:00,INCIDENTE
GUARULHOS,Unkown,2012-07-06,09:30:00,INCIDENTE
CAMPINAS,SBKP,2012-07-09,22:55:00,INCIDENTE
SÃO PAULO,SBMT,2012-07-11,19:50:00,INCIDENTE
SÃO PAULO,Unkown,2012-07-13,18:50:00,INCIDENTE
CAMPINAS,Unkown,2012-07-17,23:14:00,INCIDENTE
JUNDIAÍ,SBJD,2012-07-23,18:55:00,INCIDENTE GRAVE
PIRACICABA,SDPW,2012-07-28,16:00:00,INCIDENTE
JUNDIAÍ,SBJD,2012-07-29,14:46:00,INCIDENTE GRAVE
SÃO PAULO,Unkown,2012-07-29,15:05:00,INCIDENTE
