ocorrencia_cidade,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_classificacao
BRAGANÇA PAULISTA,SBBP,2018-07-20,13:30:00,INCIDENTE
SÃO PAULO,SBMT,2018-07-20,14:25:00,INCIDENTE
PORTO FELIZ,SJBM,2018-07-23,17:20:00,INCIDENTE
CAMPINAS,SBKP,2018-07-24,03:10:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2018-07-25,12:38:00,INCIDENTE
SÃO PAULO,SBMT,2018-07-28,17:00:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2018-08-11,20:15:00,INCIDENTE GRAVE
SÃO JOSÉ DO RIO PRETO,SBSR,2018-08-21,19:40:00,INCIDENTE GRAVE
JUNDIAÍ,SBJD,2018-08-24,16:00:00,INCIDENTE
BARRETOS,Unkown,2018-08-25,06:00:00,INCIDENTE GRAVE
SÃO JOSÉ DO RIO PRETO,SBSR,2018-08-27,18:40:00,INCIDENTE
GUARULHOS,SBGR,2018-08-29,07:30:00,INCIDENTE
SÃO PAULO,SBMT,2018-09-06,16:28:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2018-09-15,22:40:00,INCIDENTE
SÃO PAULO,SBGR,2018-09-26,15:47:00,INCIDENTE GRAVE
BEBEDOURO,SDBB,2018-09-26,16:30:00,INCIDENTE GRAVE
SÃO JOSÉ DO RIO PRETO,SBSR,2018-09-27,10:45:00,INCIDENTE
GUARATINGUETÁ,SBGW,2018-09-28,20:42:00,INCIDENTE
SÃO PAULO,SBMT,2018-10-18,22:45:00,INCIDENTE
AMERICANA,Unkown,2018-10-18,12:30:00,INCIDENTE
CAMPINAS,Unkown,2018-10-26,22:33:00,INCIDENTE
JUNDIAÍ,SBJD,2018-11-01,11:25:00,INCIDENTE
JUNDIAÍ,SBJD,2018-11-02,04:58:00,INCIDENTE
JUNDIAÍ,SBJD,2018-11-14,09:40:00,INCIDENTE
CAMPINAS,SBKP,2018-11-14,17:45:00,INCIDENTE
SÃO PAULO,SBMT,2018-11-15,12:29:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2018-11-16,20:00:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2018-11-16,14:05:00,INCIDENTE
BRAGANÇA PAULISTA,Unkown,2018-11-17,14:00:00,INCIDENTE
SÃO PAULO,SBSP,2018-11-20,21:07:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2018-11-21,02:03:00,INCIDENTE
SÃO PAULO,SBMT,2018-11-24,14:00:00,INCIDENTE GRAVE
ANDRADINA,SDDN,2018-11-26,17:11:00,INCIDENTE
CAMPINAS,SBKP,2018-12-01,16:20:00,INCIDENTE
GUARULHOS,SBGR,2018-12-02,18:49:00,INCIDENTE
GUARULHOS,SBGR,2018-12-10,23:30:00,INCIDENTE
BIRITIBA-MIRIM,SDIH,2018-12-11,14:03:00,INCIDENTE
SÃO PAULO,SBMT,2018-12-12,18:11:00,INCIDENTE
ESPÍRITO SANTO DO TURVO,Unkown,2018-12-14,18:45:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2018-12-26,11:20:00,INCIDENTE
GUARULHOS,SBGR,2018-12-27,03:15:00,INCIDENTE
GUARULHOS,Unkown,2018-12-30,17:30:00,INCIDENTE
ATIBAIA,SDTB,2019-01-08,12:35:00,INCIDENTE GRAVE
RIBEIRÃO PRETO,SBRP,2019-01-09,10:57:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2019-01-16,15:00:00,INCIDENTE
SOROCABA,SDCO,2019-01-28,19:00:00,INCIDENTE
SÃO PAULO,SBMT,2019-02-09,23:14:00,INCIDENTE
SÃO PAULO,SBSP,2019-02-10,20:45:00,INCIDENTE
CAMPINAS,Unkown,2019-02-15,19:20:00,INCIDENTE
GUARULHOS,SBGR,2019-02-17,12:39:00,INCIDENTE
JUNDIAÍ,SBJD,2019-02-20,14:45:00,INCIDENTE
GUARULHOS,SBGR,2019-02-24,18:58:00,INCIDENTE
GUARULHOS,SBGR,2019-02-24,01:00:00,INCIDENTE
CAMPINAS,SBKP,2019-03-01,14:35:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2019-03-02,13:00:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2019-03-06,01:44:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2019-03-08,18:00:00,INCIDENTE
GUARULHOS,Unkown,2019-03-09,10:40:00,INCIDENTE
CAMPINAS,SBKP,2019-03-09,02:30:00,INCIDENTE
CAMPINAS,SBKP,2019-03-12,22:57:00,INCIDENTE
CAMPINAS,SBKP,2019-03-12,22:30:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2019-03-13,09:47:00,INCIDENTE
GAVIÃO PEIXOTO,SBGP,2019-03-26,12:45:00,INCIDENTE
JUNDIAÍ,SBJD,2019-04-03,13:40:00,INCIDENTE
UBATUBA,SDUB,2019-04-12,15:20:00,INCIDENTE
SÃO PAULO,SBMT,2019-04-15,18:30:00,INCIDENTE
SÃO PAULO,SBMT,2019-04-18,15:40:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2019-04-18,18:50:00,INCIDENTE
GUARULHOS,SBGR,2019-04-20,14:24:00,INCIDENTE
GUARULHOS,SBGR,2019-04-21,10:05:00,INCIDENTE
SÃO PAULO,SBGR,2019-04-23,01:00:00,INCIDENTE
SÃO PAULO,SBMT,2019-04-24,13:29:00,INCIDENTE
SÃO PAULO,SBGR,2019-04-30,21:03:00,INCIDENTE
GUARULHOS,SBGR,2019-05-04,21:00:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2019-05-07,00:55:00,INCIDENTE
GUARULHOS,Unkown,2019-05-20,22:06:00,INCIDENTE
GUARULHOS,SBGR,2019-05-20,19:25:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2019-05-27,11:42:00,INCIDENTE GRAVE
CAMPINAS,SBKP,2019-06-23,15:40:00,INCIDENTE
SÃO PAULO,SSUB,2019-06-30,19:45:00,INCIDENTE
SÃO PAULO,SBSP,2019-07-03,18:43:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2019-07-22,15:07:00,INCIDENTE
SÃO PAULO,Unkown,2019-07-27,23:15:00,INCIDENTE
JACUPIRANGA,Unkown,2019-07-27,14:25:00,INCIDENTE GRAVE
SÃO PAULO,Unkown,2019-08-03,17:30:00,INCIDENTE
BOITUVA,SDCO,2019-08-03,21:09:00,INCIDENTE
CAMPINAS,Unkown,2019-08-04,16:08:00,INCIDENTE
JUNDIAÍ,SBJD,2019-08-05,19:28:00,INCIDENTE
SÃO PAULO,SBSP,2019-08-08,17:45:00,INCIDENTE
UBATUBA,SDUB,2019-08-09,12:35:00,INCIDENTE GRAVE
CABREÚVA,Unkown,2019-08-11,12:40:00,INCIDENTE GRAVE
SÃO PAULO,SBMT,2019-08-12,14:49:00,INCIDENTE
CAMPINAS,SBKP,2019-08-15,04:47:00,INCIDENTE
BRAGANÇA PAULISTA,SDVH,2019-08-25,20:50:00,INCIDENTE GRAVE
CAMPINAS,Unkown,2019-08-27,12:10:00,INCIDENTE
CAMPINAS,Unkown,2019-08-27,03:23:00,INCIDENTE
SÃO PAULO,SBMT,2019-09-10,20:01:00,INCIDENTE
GUARULHOS,SBGR,2019-09-11,03:09:00,INCIDENTE
SÃO PAULO,SBMT,2019-09-16,10:10:00,INCIDENTE
PIEDADE,Unkown,2019-09-16,17:19:00,INCIDENTE GRAVE
GUARULHOS,Unkown,2019-09-22,23:48:00,INCIDENTE
CAMPINAS,Unkown,2019-09-25,02:53:00,INCIDENTE
ARAÇATUBA,Unkown,2019-09-28,15:50:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2019-09-29,13:15:00,INCIDENTE
CAMPINAS,Unkown,2019-10-15,22:18:00,INCIDENTE
GUARULHOS,Unkown,2019-10-15,00:36:00,INCIDENTE
CAMPINAS,Unkown,2019-10-16,09:20:00,INCIDENTE
CAMPINAS,SBKP,2019-10-17,19:47:00,INCIDENTE
CAMPINAS,Unkown,2019-10-17,00:36:00,INCIDENTE
SÃO CARLOS,SDSC,2019-10-17,00:00:00,INCIDENTE
JUNDIAÍ,SBJD,2019-10-18,20:15:00,INCIDENTE GRAVE
CAMPINAS,Unkown,2019-10-18,11:16:00,INCIDENTE
CAMPINAS,SBKP,2019-10-18,17:40:00,INCIDENTE
ARARAS,Unkown,2019-10-19,19:15:00,INCIDENTE GRAVE
SÃO JOSÉ DOS CAMPOS,Unkown,2019-10-19,14:00:00,INCIDENTE
BRAGANÇA PAULISTA,Unkown,2019-10-24,10:15:00,INCIDENTE
CAMPINAS,Unkown,2019-10-24,17:40:00,INCIDENTE
CAÇAPAVA,Unkown,2019-10-26,18:47:00,INCIDENTE GRAVE
CAMPINAS,Unkown,2019-10-28,02:15:00,INCIDENTE
SÃO PAULO,Unkown,2019-10-31,11:15:00,INCIDENTE GRAVE
GUARULHOS,Unkown,2019-11-01,18:36:00,INCIDENTE
BRAGANÇA PAULISTA,Unkown,2019-11-07,15:10:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2019-11-11,15:30:00,INCIDENTE
CAMPINAS,Unkown,2019-11-15,04:37:00,INCIDENTE
CAMPINAS,Unkown,2019-11-23,03:27:00,INCIDENTE
CAMPINAS,Unkown,2019-11-26,18:08:00,INCIDENTE
BRAGANÇA PAULISTA,Unkown,2019-12-16,09:00:00,INCIDENTE GRAVE
SÃO PAULO,Unkown,2019-12-17,10:45:00,INCIDENTE
SÃO PAULO,Unkown,2019-12-19,22:35:00,INCIDENTE
CAMPINAS,Unkown,2019-12-24,09:00:00,INCIDENTE
CAMPINAS,Unkown,2019-12-27,21:20:00,INCIDENTE
CAMPINAS,SBKP,2020-01-05,17:15:00,INCIDENTE
CAMPINAS,SBKP,2020-01-08,13:30:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2020-01-10,21:09:00,INCIDENTE
CAMPINAS,Unkown,2020-01-15,14:53:00,INCIDENTE
SÃO PAULO,SBMT,2020-01-15,18:13:00,INCIDENTE
CAMPINAS,Unkown,2020-01-22,03:24:00,INCIDENTE
CAMPINAS,Unkown,2020-01-23,14:00:00,INCIDENTE
SOROCABA,Unkown,2020-01-24,16:27:00,INCIDENTE
SÃO PAULO,Unkown,2020-01-26,19:08:00,INCIDENTE
CAMPINAS,Unkown,2020-01-27,02:21:00,INCIDENTE
CAMPINAS,Unkown,2020-01-28,17:00:00,INCIDENTE
GUARULHOS,Unkown,2020-01-28,15:40:00,INCIDENTE
CAMPINAS,Unkown,2020-01-29,19:02:00,INCIDENTE
CAMPINAS,SBKP,2020-01-31,01:42:00,INCIDENTE
CAMPINAS,Unkown,2020-02-01,02:12:00,INCIDENTE
SÃO PAULO,SBSP,2020-02-03,21:03:00,INCIDENTE
CAMPINAS,Unkown,2020-02-06,13:08:00,INCIDENTE
CAMPINAS,Unkown,2020-02-07,03:20:00,INCIDENTE
GUARULHOS,Unkown,2020-02-08,14:30:00,INCIDENTE
CAMPINAS,Unkown,2020-02-17,10:44:00,INCIDENTE
JUNDIAÍ,SBJD,2020-02-20,15:30:00,INCIDENTE
PIRACICABA,SDPW,2020-02-25,02:10:00,INCIDENTE
CAMPINAS,Unkown,2020-02-26,15:50:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2020-03-03,19:42:00,INCIDENTE
CAMPINAS,Unkown,2020-03-04,22:50:00,INCIDENTE
SÃO PAULO,Unkown,2020-03-09,11:00:00,INCIDENTE
ITÁPOLIS,SDIO,2020-03-09,12:30:00,INCIDENTE GRAVE
CAMPINAS,Unkown,2020-03-10,23:51:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2020-03-12,12:30:00,INCIDENTE GRAVE
SÃO PAULO,Unkown,2020-03-14,14:35:00,INCIDENTE
CAMPINAS,Unkown,2020-03-15,01:35:00,INCIDENTE
GUARULHOS,Unkown,2020-03-16,14:40:00,INCIDENTE
GUARULHOS,Unkown,2020-03-20,16:29:00,INCIDENTE
CAMPINAS,SBKP,2020-03-23,12:45:00,INCIDENTE
GUARULHOS,SBGR,2020-03-24,14:25:00,INCIDENTE
SOROCABA,Unkown,2020-03-26,09:00:00,INCIDENTE
SÃO VICENTE,Unkown,2020-04-01,20:30:00,INCIDENTE
ITAÍ,Unkown,2020-04-01,20:01:00,INCIDENTE
SÃO PAULO,SBMT,2020-04-03,14:30:00,INCIDENTE
SÃO PAULO,SBMT,2020-04-09,14:30:00,INCIDENTE
TAMBAÚ,Unkown,2020-04-09,13:00:00,INCIDENTE
JUNDIAÍ,SBJD,2020-04-14,20:25:00,INCIDENTE
SÃO PAULO,SBMT,2020-04-22,16:20:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2020-04-24,17:41:00,INCIDENTE
GUARULHOS,SBGR,2020-04-29,14:45:00,INCIDENTE
BAURU,SBBU,2020-04-30,22:51:00,INCIDENTE
SÃO JOAQUIM DA BARRA,SDJO,2020-04-30,13:10:00,INCIDENTE GRAVE
SÃO PAULO,SBGR,2020-05-15,14:40:00,INCIDENTE
MATÃO,SDLY,2020-05-25,14:15:00,INCIDENTE
CAMPINAS,SBKP,2020-06-01,12:50:00,INCIDENTE
ARAÇATUBA,SBAU,2020-06-04,15:00:00,INCIDENTE
GUARULHOS,SBGR,2020-06-05,12:30:00,INCIDENTE
GUARULHOS,SBGR,2020-06-09,12:05:00,INCIDENTE
BRAGANÇA PAULISTA,SBBP,2020-06-10,15:00:00,INCIDENTE
SÃO PAULO,SBMT,2020-06-12,23:41:00,INCIDENTE
SANTOS,SBST,2020-06-12,19:30:00,INCIDENTE
BAURU,SBBU,2020-06-12,17:35:00,INCIDENTE
BAURU,SBBU,2020-06-15,18:20:00,INCIDENTE
PAULÍNIA,Unkown,2020-06-18,16:17:00,INCIDENTE GRAVE
QUADRA,SIVQ,2020-06-20,20:00:00,INCIDENTE GRAVE
SOROCABA,SDCO,2020-06-21,14:15:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2020-07-05,20:16:00,INCIDENTE
CAMPINAS,SBKP,2020-07-07,10:06:00,INCIDENTE
GUARULHOS,SBGR,2020-07-07,13:40:00,INCIDENTE
PIRACICABA,SDPW,2020-07-11,19:50:00,INCIDENTE GRAVE
CAMPINAS,SDAM,2020-07-21,19:00:00,INCIDENTE
GUARULHOS,SBGR,2020-07-26,13:00:00,INCIDENTE
BAURU,SBBU,2020-08-03,18:20:00,INCIDENTE GRAVE
SÃO JOSÉ DO RIO PRETO,SBSR,2020-08-06,20:55:00,INCIDENTE GRAVE
JUNDIAÍ,SBJD,2020-08-10,21:00:00,INCIDENTE
SÃO PAULO,SBGR,2020-08-12,14:20:00,INCIDENTE
JUNDIAÍ,SBJD,2020-08-13,11:50:00,INCIDENTE GRAVE
ITIRAPINA,SDJA,2020-08-15,23:40:00,INCIDENTE GRAVE
SÃO PAULO,SBGR,2020-08-23,13:35:00,INCIDENTE
CAMPINAS,SBKP,2020-08-24,13:15:00,INCIDENTE
SÃO PAULO,SBSP,2020-08-26,22:47:00,INCIDENTE
AMERICANA,SDAI,2020-08-28,11:10:00,INCIDENTE
BOITUVA,SDOI,2020-09-06,18:00:00,INCIDENTE
CAMPINAS,SBKP,2020-09-10,23:40:00,INCIDENTE
SÃO PAULO,Unkown,2020-09-12,13:10:00,INCIDENTE GRAVE
SOROCABA,SDCO,2020-09-19,14:20:00,INCIDENTE
REGENTE FEIJÓ,SDYJ,2020-09-27,19:33:00,INCIDENTE GRAVE
LINS,Unkown,2020-09-29,18:30:00,INCIDENTE
PIRAJUÍ,Unkown,2020-09-29,18:30:00,INCIDENTE
SÃO PAULO,SBSP,2020-10-01,20:05:00,INCIDENTE
CAMPINAS,SBKP,2020-10-02,19:02:00,INCIDENTE
CAMPINAS,SBKP,2020-10-02,10:50:00,INCIDENTE
SÃO PAULO,SBMT,2020-10-06,15:25:00,INCIDENTE
ARAÇATUBA,SBAU,2020-10-07,15:30:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2020-10-14,12:06:00,INCIDENTE
RIBEIRÃO PRETO,SBRP,2020-10-28,16:15:00,INCIDENTE
CAMPINAS,SBKP,2020-11-04,22:39:00,INCIDENTE
BOITUVA,Unkown,2020-11-07,09:39:00,INCIDENTE
GUARULHOS,SBGR,2020-11-17,16:00:00,INCIDENTE
SÃO PAULO,Unkown,2020-11-17,16:00:00,INCIDENTE
GUARULHOS,SBGR,2020-11-30,17:00:00,INCIDENTE
SÃO PAULO,SBSP,2020-12-03,14:42:00,INCIDENTE GRAVE
SOROCABA,SDCO,2020-12-04,15:30:00,INCIDENTE GRAVE
SÃO PAULO,SBMT,2020-12-11,13:50:00,INCIDENTE GRAVE
SÃO PAULO,SBMT,2020-12-28,10:15:00,INCIDENTE
CAMPINAS,SBKP,2020-12-29,19:00:00,INCIDENTE
